Dar_IdDarwinCore,N Lote,Nombre Archivo Completo,Dar_ReinoOrganismo,Dar_DivisionOrganismo,Dar_ClaseOrganismo (Class),Dar_OrdenOrganismo,Dar_FamiliaOrganismo,Dar_GeneroOrganismo,Dar_NombreCientifico,Dar_EspecieOrganismo,Dar_AutorNombreCientifico ,Dar_IdentificadoPor,Fech. Compl. Ident,Dar_AnoIdentificacion (YearIdentified),Dar_MesIdentificacion (MonthIdentified),Dar_DiaIdentificacion (DayIdentified),Dar_CodigoInstitucion,Dar_CodigoColeccion,Dar_NumeroCatalogo,Dar_SexoOrganismo,longitud (cm) ,N,Dar_Colector,Fech.Completa,Dar_AnoColectado,Dar_MesColectado,Dar_DiaColectado,Dar_ContinenteOceano,Dar_Pais,Región,Provincia ,Distrito,Dar_Localidad,Dar_NombreComunOrganismo,Habitat,Uso,Latitud ,Longitud,Cuenca,Arte de Pesca,
36,CIIAP 36,CIIAP 36.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Potamorhina ,Potamorhina pristigaster,pristigaster,(Steindachner 1876),Homero Sánchez Riveiro,3/3/1987,1987,3,3,IIAP,CIIAP,CIIAP 36,I,LE: 16.6,3,Victor Montreuil,3/12/1992,1992,12,3,América del Sur,Perú,Loreto,Loreto,Nauta,San Pablo Tipishca,llambina,Cocha,C, -4.537617°,-74.096663°,Río Marañón,"Red trampa de 3""",
50,CIIAP 50,CIIAP 50.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Cyphocharax,Cyphocharax festivus,festivus,Vari 1992,Homero Sánchez Riveiro,15/8/2011,2011,8,15,IIAP,CIIAP,CIIAP 50,I,LE: 13.5,1,María Aldea,11/8/2011,2011,8,11,América del Sur,Perú,Loreto,Loreto,Nauta,,chio chio,quebrada safiro,C, -4.544108°,-73.600086°,Río Marañón,"Red trampa de 2.5""",
65,CIIAP 65,CIIAP 65.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Cyphocharax,Cyphocharax festivus,festivus,Vari 1992,Homero Sánchez Riveiro,15/8/2011,2011,8,15,IIAP,CIIAP,CIIAP 65,I,LE: 14.4,2,María Aldea,11/8/2011,2011,8,11,América del Sur,Perú,Loreto,Loreto,Nauta,,ractacara ,quebrada safiro,C, -4.502896°,-74.059288°,Río Marañón,"Red trampa de 3""",
83,CIIAP 83,CIIAP 83.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Curimatidae,Curimatella,Curimatella meyeri,meyeri,(Steindachner 1882),Homero Sánchez Riveiro,15/8/2011,2011,8,15,IIAP,CIIAP,CIIAP 83,I,LE: 10.6,1,María Aldea,11/8/2011,2011,8,11,América del Sur,Perú,Loreto,Loreto,Nauta,,chio chio,quebrada zafiro,C, -4.544108°,-73.600086°,Río Marañón,"Red trampa de 2.5""",
110,CIIAP 110,CIIAP 110.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Prochilodontidae,Prochilodus,Prochilodus nigricans,nigricans,Spix & Agassiz 1829,Homero Sánchez Riveiro,12/12/2011,2011,12,12,IIAP,CIIAP,CIIAP 110,I,LE: 14.9,1,María Aldea,10/8/2011,2011,8,10,América del Sur,Perú,Loreto,Loreto,Nauta,Quebrada Safira,boquichico,Río Marañon,C, -4.502896°,-74.059288°,Río Marañón,"Red trampa de 2""",
151,CIIAP 151,CIIAP 151.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Gasteropelecidae,Gasteropelecus ,Gasteropelecus sternicla,sternicla,(Linnaeus 1758),Homero Sánchez Riveiro,25/12/2008,2008,12,25,IIAP,CIIAP,CIIAP 151,I,LE: 3.64,22,Genoveba Freitas,25/6/2002,2002,6,25,América del Sur,Perú,Loreto,Loreto,Nauta,Cocha Mauca,pechito,Río Yanayacú - Pucate,O, -4.639945°,-73.656390°,Río Yanayacú - Pucate,Red alevinera ,
164,CIIAP 164,CIIAP 164.jpg,Animalia ,Chordata,Actinopterygii,Characiformes ,Characidae,Mylossoma ,Mylossoma albiscopum,albiscopum,(Cope 1872),Morgan Ruiz Tafur ,6/9/2021,2021,9,6,IIAP,CIIAP,CIIAP 164,I,LE: 9.67,2,Homero Sánchez Riveiro,20/11/1978,1978,11,20,América del Sur,Perú,Loreto,Loreto,Nauta,nauta,palometa ,Río Marañón,"C,O", -4.534414°,-73.583182°,Río Marañón,"Red trampa de 2""",
255,CIIAP 255,CIIAP 255.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii,Valenciennes 1840,Homero Sánchez Riveiro,20/3/2014,2014,3,20,IIAP,CIIAP,CIIAP 255,I,LE: 18.2 ,1,Victor Montreuil & Salvador Tello,19/5/1987,1987,5,19,América del Sur,Perú,Loreto,Loreto,Nauta,san pablo de tipishca ,bagre,Río Marañon ,"C,O", -4.537617°,-74.096663°,Río Marañon,Red alevinera ,
266,CIIAP 266,CIIAP 266.jpg,Animalia ,Chordata,Actinopterygii,Siluriformes,Pimelodidae ,Pinirampus,Pinirampus pirinampu ,pirinampu ,(Spix & Agassiz 1829),Homero Sánchez Riveiro,23/3/1987,1987,3,23,IIAP,CIIAP,CIIAP 266,I,LE: 18.1,1,Victor Montreuil & Salvador Tello,3/3/1987,1987,3,3,América del Sur,Perú,Loreto,Loreto,Nauta,San pablo de tipishca (Río Marañon,mota blanca ,,"C,O", -4.544108°,-73.600086°,Río Marañon ,"Red trampa de 3""",
290,CIIAP 290,CIIAP 290.jpg,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,Pseudobunocephalus,Pseudobunocephalus bifidus ,bifidus,(Eigenmann 1942),Morgan Ruiz Tafur ,30/9/2021,2021,9,30,IIAP,CIIAP,CIIAP 290,I,LE: 4.3,3,Genoveba Freitas,11/6/2002,2002,6,11,América del Sur,Perú,Loreto,Loreto,Nauta,Huarmi isla ,bagre sapo,,"C,O", -4.644167°,-73.785833°,Río Yanayacu,Red alevinera ,
