pais,region,provincia,distrito,localidad
Perú,Loreto,Maynas,Napo,Cocha panguana Rio arabela
Perú,Loreto,Maynas,Napo,Isla 4 bocas
Perú,Loreto,Maynas,Napo,Base Arica - Repsol
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Flor de Coco
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Base Arica - Repsol
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Urbina
Perú,Loreto,Maynas,Napo,Comunidad Santa Victoria
Perú,Loreto,Maynas,Napo,río curaray 
Perú,Loreto,Maynas,Napo,"maquisapillo, nuevo defensor río arabela "
Perú,Loreto,Maynas,Napo,Comunidad Santa Victoria 
Perú,Loreto,Maynas,Napo,Comunidad Santa Victoria
Perú,Loreto,Maynas,Napo,Base Arica - Repsol
Perú,Loreto,Maynas,Napo,Comunidad Santa Victoria
Perú,Loreto,Maynas,Napo,cocha maquisapillo
Perú,Loreto,Maynas,Punchana,Viejacocha
Perú,Loreto,Maynas,Punchana,
Perú,Loreto,Maynas,Punchana,Vieja cocha
Perú,Loreto,Maynas,Punchana,Vieja cocha
Perú,Loreto,Maynas,Punchana,Vieja cocha
Perú,Loreto,Maynas,Punchana,vieja cocha rio nanay 
Perú,Loreto,Maynas,Punchana,vieja cocha
Perú,Loreto,Maynas,Punchana,viejacocha
Perú,Loreto,Maynas,Punchana,viejacocha
Perú,Loreto,Maynas,San Juan Bautista,caño santo tomas 
Perú,Loreto,Maynas,San Juan Bautista,caño santo tomas 
Perú,Loreto,Maynas,San Juan Bautista,caño santo tomas 
Perú,Loreto,Maynas,San Juan Bautista,Rumocoha
Perú,Loreto,Maynas,San Juan Bautista,caño santo tomas 
Perú,Loreto,Maynas,San Juan Bautista,caño santo tomas 
Perú,Loreto,Maynas,San Juan Bautista,Quebrada Corrientillo
Perú,Loreto,Maynas,San Juan Bautista,Comunidad Yuto
Perú,Loreto,Maynas,San Juan Bautista,Shiruycaño
Perú,Loreto,Maynas,San Juan Bautista,cocha yuto
Perú,Loreto,Maynas,San Juan Bautista,pampachica
Perú,Loreto,Maynas,San Juan Bautista,Allpahuayo
Perú,Loreto,Maynas,San Juan Bautista,Quebrada Allpahuayo
Perú,Loreto,Maynas,San Juan Bautista,shiruy caño/río Nanay 
Perú,Loreto,Maynas,San Juan Bautista,shiruy caño/río Nanay 
Perú,Loreto,Maynas,San Juan Bautista,quebrada allpahuayo
Perú,Loreto,Maynas,San Juan Bautista,shiruy caño/río Nanay 
Perú,Loreto,Maynas,San Juan Bautista,shiruy caño/río Nanay 
Perú,Loreto,Maynas,San Juan Bautista,shiruy caño/río Nanay 
Perú,Loreto,Maynas,San Juan Bautista,Río Nanay
Perú,Loreto,Maynas,San Juan Bautista,Cocha Yuto
Perú,Loreto,Maynas,San Juan Bautista,"pintuyacu, itaya"
Perú,Loreto,Maynas,San Juan Bautista,Cocha Yuto
Perú,Loreto,Maynas,San Juan Bautista,Cocha Yuto
Perú,Loreto,Maynas,Torres Causana,comunidad campo serio
Perú,Loreto,Maynas,Torres Causana,campo serio
Perú,Loreto,Maynas,Torres Causana,Pandacocha
Perú,Loreto,Maynas,Torres Causana,Quebrada Bufeo Tequera
Perú,Loreto,Maynas,Torres Causana,Comunidad Buen Suceso
Perú,Loreto,Maynas,Torres Causana,Tipishca Tunchi
Perú,Loreto,Maynas,Torres Causana,Panda cocha
Perú,Loreto,Maynas,Torres Causana,Quebrada Chontilla
Perú,Loreto,Maynas,Torres Causana,Quebrada Chontilla
Perú,Loreto,Maynas,Torres Causana,Quebrada Chontilla
Perú,Loreto,Maynas,Torres Causana,Comunidad Campo Serio
Perú,Loreto,Maynas,Torres Causana,Tipishca Tunchi
Perú,Loreto,Maynas,Torres Causana,Chorococha
Perú,Loreto,Maynas,Torres Causana,Aranda Cocha
Perú,Loreto,Maynas,Torres Causana,Aranda Cocha
Perú,Loreto,Maynas,Torres Causana,Quebrada Tequera
Perú,Loreto,Maynas,Torres Causana,Quebrada Yanayacu
Perú,Loreto,Maynas,Torres Causana,Pansa Cocha
Perú,Loreto,Maynas,Torres Causana,Quebrada Yanayacu
Perú,Loreto,Maynas,Torres Causana,Comunidad Buen Suceso
Perú,Loreto,Maynas,Torres Causana,Quebrada Rinayacu
Perú,Loreto,Maynas,Torres Causana,quebarda tacarachi 
Perú,Loreto,Maynas,Torres Causana,Caño Anuncho
Perú,Loreto,Maynas,Torres Causana,"Comunidad Campo Serio, rio aushi, napo "
Perú,Loreto,Maynas,Torres Causana,Comunidad Campo Serio
Perú,Loreto,Maynas,Torres Causana,campo serio
Perú,Loreto,Maynas,Torres Causana,rio aushiri parte altab
Perú,Loreto,maynas,Torres Causana,Quebrada tekera /rio napo 
Perú,Loreto,Maynas,Torres Causana,quebrada yanayacu /rio aushiri
Perú,Loreto,Maynas,Torres Causana,Caño garza
Perú,Loreto,Maynas,Torres Causana,quebrada tacarachi
Perú,Loreto,Maynas,Torres Causana,Rio yanayacu
Perú,Loreto,Maynas,Torres Causana,Caño anuncho/yanayacu pucate
Perú,Loreto,Maynas,Torres Causana,Caño garza
Perú,Loreto,Maynas,Torres Causana,Caño garza
Perú,Loreto,Maynas,Torres Causana,Río yanayacu
Perú,Loreto,Maynas,Torres Causana,Comunidad Germán 
Perú,Loreto,Maynas,Torres Causana,(Comunidad Buen Suceso)
Perú,Loreto,Maynas,Torres Causana,chorococha 
Perú,Loreto,Maynas,Torres Causana,chorococha 
Perú,Loreto,Maynas,Torres Causana,
Perú,Loreto,Maynas,Torres Causana,chorococha
Perú,Loreto,Maynas,Torres Causana,Quebrada Bufeo Tequera
Perú,Loreto,Maynas,,-
Perú,Loreto,Maynas,,resaca anguilla 
Perú,Loreto,Maynas,,
Perú,Loreto,Maynas,,Puerto Fujimori
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,Iquitos ,Zona alta de Huachana 
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
Perú,Loreto,Maynas ,San Juan Bautista,zona media del Pintuyacu
