familia,genero,nombre_cientifico,especie,genero_id,autor_nombre_cientifico
cetopsidae,denticetopsis,denticetopsis seducta,seducta,68.0,"Vari, Ferraris & de Pinna 2005"
callichthyidae,dianema,dianema longibarbis,longibarbis,69.0,Cope 1872
callichthyidae,dianema,dianema urostriatum,urostriatum,69.0,Miranda Ribeiro 1912
auchenipteridae,duringlanis,duringlanis perugiae,perugiae,70.0,Steindachner 1882
sternopygidae,eigenmannia,eigenmannia limbata,limbata,71.0,Schreiner & Miranda Ribeiro 1903
sternopygidae,eigenmannia,eigenmannia sp.,sp.,71.0,No author
crenuchidae,elachocharax,elachocharax pulcher,pulcher,72.0,Myers 1927
gymnotidae,electrophorus,electrophorus varii,varii,73.0,"de Santana, Wosiacki, Crampton, Sabaj, Dillman, Mendes-Júnior & Castro e C. 2019"
erythrinidae,erythrinus,erythrinus erythrinus,erythrinus,74.0,Bloch & Schneider 1801
loricariidae,farlowella,farlowella amazonum,amazonum,75.0,Günther 1864
loricariidae,farlowella,farlowella smithi,smithi,75.0,Fowler 1913
loricariidae,farlowella,farlowella sp.,sp.,75.0,No author
gasteropelecidae,gasteropelecus,gasteropelecus sternicla,sternicla,76.0,Linnaeus 1758
heptapteridae,goeldiella,goeldiella eques,eques,77.0,Müller & Troschel 1849
gymnotidae,gymnotus,gymnotus carapo,carapo,78.0,Linnaeus 1758
gymnotidae,gymnotus,gymnotus javari,javari,78.0,"Albert, Crampton & Hagedorn 2003"
characidae,hemigrammus,hemigrammus cf. hyanuary,cf. hyanuary,79.0,Durbin 1918
characidae,hemigrammus,hemigrammus hyanuary,hyanuary,79.0,Durbin 1918
characidae,hemigrammus,hemigrammus levis,levis,79.0,Durbin 1908
characidae,hemigrammus,hemigrammus marginatus,marginatus,79.0,Ellis 1911
characidae,hemigrammus,hemigrammus ocellifer,ocellifer,79.0,Steindachner 1882
characidae,hemigrammus,hemigrammus pulcher,pulcher,79.0,Ladiges 1938
characidae,hemigrammus,hemigrammus sp.,sp.,79.0,No author
characidae,hemigrammus,hemigrammus unilineatus,unilineatus,79.0,Gill 1858
loricariidae,hemiodontichthys,hemiodontichthys acipenserinus,acipenserinus,80.0,Kner 1853
hemiodontidae,hemiodus,hemiodus microlepis,microlepis,81.0,Kner 1858
hemiodontidae,hemiodus,hemiodus sp.,sp.,81.0,No author
hemiodontidae,hemiodus,hemiodus unimaculatus,unimaculatus,81.0,Bloch 1794
pimelodidae,hemisorubim,hemisorubim platyrhynchos,platyrhynchos,82.0,Valenciennes 1840
trichomycteridae,henonemus,henonemus punctatus,punctatus,83.0,Boulenger 1887
trichomycteridae,henonemus,henonemus sp.,sp.,83.0,No author
cichlidae,heroina,heroina isonycterina,isonycterina,84.0,Kullander 1996
cichlidae,heros,heros efasciatus,efasciatus,85.0,Heckel 1840
erythrinidae,hoplerythrinus,hoplerythrinus unitaeniatus,unitaeniatus,86.0,Agassiz 1829
erythrinidae,hoplias,hoplias malabaricus,malabaricus,87.0,Bloch 1794
callichthyidae,hoplosternum,hoplosternum littorale,littorale,88.0,Hancock 1828
cynodontidae,hydrolycus,hydrolycus scomberoides,scomberoides,89.0,Cuvier 1816
characidae,hyphessobrycon,hyphessobrycon copelandi,copelandi,90.0,Durbin 1908
achiridae,hypoclinemus,hypoclinemus mentalis,mentalis,91.0,Günther 1862
pimelodidae,hypophthalmus,hypophthalmus celiae,celiae,92.0,"Littman, Lundberg & Rocha 2021"
pimelodidae,hypophthalmus,hypophthalmus oremaculatus,oremaculatus,92.0,Nani and Fuster 1947
loricariidae,hypoptopoma,hypoptopoma gulare,gulare,93.0,No author
loricariidae,hypoptopoma,hypoptopoma psilogaster,psilogaster,93.0,Fowler 1915
loricariidae,hypostomus,hypostomus oculeus,oculeus,94.0,Fowler 1943
loricariidae,hypostomus,hypostomus sp.,sp.,94.0,No author
loricariidae,hypostomus,hypostomus sp. 1,sp. 1,94.0,No author
loricariidae,hypostomus,hypostomus sp. 2,sp. 2,94.0,No author
loricariidae,hypostomus,hypostomus sp. 3,sp. 3,94.0,No author
loricariidae,hypostomus,hypostomus sp. 4,sp. 4,94.0,No author
cichlidae,hypselecara,hypselecara temporalis,temporalis,95.0,Günther 1862
iguanodectidae,iguanodectes,iguanodectes purusii,purusii,96.0,Steindachner 1908
iguanodectidae,iguanodectes,iguanodectes sp.,sp.,96.0,No author
iguanodectidae,iguanodectes,iguanodectes spilurus,spilurus,96.0,Günther 1864
heptapteridae,imparfinis,imparfinis sp.,sp.,97.0,No author
characidae,jupiaba,jupiaba anteroides,anteroides,98.0,Géry 1965
characidae,jupiaba,jupiaba sp.,sp.,98.0,No author
characidae,knodus,knodus sp.,sp.,99.0,No author
anostomidae,laemolyta,laemolyta taeniata,taeniata,100.0,Kner 1858
cichlidae,laetacara,laetacara thayeri,thayeri,101.0,Steindachner 1875
loricariidae,lasiancistrus,lasiancistrus schomburgkii,schomburgkii,102.0,Günther 1864
pimelodidae,leiarius,leiarius marmoratus,marmoratus,103.0,Gill 1870
lepidosirenidae,lepidosiren,lepidosiren paradoxa,paradoxa,104.0,Fitzinger 1837
anostomidae,leporinus,leporinus agassizi,agassizi,105.0,Steindachner 1876
anostomidae,leporinus,leporinus cf. agassizii,cf. agassizii,105.0,steindachner 1876
anostomidae,leporinus,leporinus fasciatus,fasciatus,105.0,Bloch 1794
anostomidae,leporinus,leporinus friderici,friderici,105.0,Bloch 1794
cichlidae,leporinus,leporinus friderici,friderici,106.0,Bloch 1794
anostomidae,leporinus,leporinus maculatus,maculatus,105.0,Müller & Troschel 1844
anostomidae,leporinus,leporinus moralesi,moralesi,105.0,Fowler 1942
anostomidae,leporinus,leporinus sp.,sp.,105.0,No author
anostomidae,leporinus,leporinus sp. 1,sp. 1,105.0,No author
doradidae,leptodoras,leptodoras acipenserinus,acipenserinus,107.0,Günther 1868
loricariidae,loricaria,loricaria sp.,sp.,108.0,No author
loricariidae,loricariichthys,loricariichthys maculatus,maculatus,109.0,Bloch 1794
loricariidae,loricariichthys,loricariichthys nudirostris,nudirostris,109.0,Kner 1853
loricariidae,loricariichthys,loricariichthys sp.,sp.,109.0,No author
cichlidae,lugubria,lugubria cincta,cincta,110.0,Regan 1905
engraulididae,lycengraulis,lycengraulis batesii,batesii,111.0,Günther 1868
callichthyidae,megalechis,megalechis picta,picta,112.0,Müller & Troschel 1849
callichthyidae,megalechis,megalechis thoracata,thoracata,112.0,Valenciennes 1840
anostomidae,megaleporinus,megaleporinus trifasciatus,trifasciatus,113.0,Steindachner 1876
crenuchidae,melanocharacidium,melanocharacidium sp.,sp.,114.0,No author
cichlidae,mesonauta,mesonauta insignis,insignis,115.0,Heckel 1840
cichlidae,mesonauta,mesonauta mirificus,mirificus,115.0,Kullander & Silfvergrip 1991
serrasalmidae,metynnis,metynnis luna,luna,116.0,Cope 1878
serrasalmidae,metynnis,metynnis maculatus,maculatus,116.0,Kner 1858
serrasalmidae,metynnis,metynnis sp.,sp.,116.0,No author
characidae,microschemobrycon,microschemobrycon geisleri,geisleri,117.0,Géry 1973
characidae,microschemobrycon,microschemobrycon sp.,sp.,117.0,No author
characidae,moenkhausia,moenkhausia agnesae,agnesae,118.0,Géry 1965
characidae,moenkhausia,moenkhausia ceros,ceros,118.0,Eigenmann 1908
characidae,moenkhausia,moenkhausia cf. lepidrua,cf. lepidrua,118.0,No author
characidae,moenkhausia,moenkhausia collettii,collettii,118.0,Steindachner 1882
characidae,moenkhausia,moenkhausia comma,comma,118.0,Eigenmann 1908
characidae,moenkhausia,moenkhausia grandisquamis,grandisquamis,118.0,Müller & Troschel 1845
characidae,moenkhausia,moenkhausia intermedia,intermedia,118.0,Eigenmann 1908
characidae,moenkhausia,moenkhausia melogramma,melogramma,118.0,Eigenmann 1908
characidae,moenkhausia,moenkhausia oligolepis,oligolepis,118.0,Günther 1864
characidae,moenkhausia,moenkhausia sp.,sp.,118.0,No author
characidae,moenkhausia,moenkhausia sp. 1,sp. 1,118.0,No author
characidae,moenkhausia,moenkhausia sp. 2,sp. 2,118.0,No author
characidae,moenkhausia,moenkhuausia cf. dichroura,cf. dichroura,118.0,Kner 1858
polycentridae,monocirrhus,monocirrhus polyacanthus,polyacanthus,119.0,Heckel 1840
serrasalmidae,myloplus,myloplus cf. levis,cf. levis,120.0,Eigenmann & McAtee 1907
serrasalmidae,myloplus,myloplus rubripinnis,rubripinnis,120.0,Müller & Troschel 1844
serrasalmidae,myloplus,myloplus schomburgkii,schomburgkii,120.0,Jardine 1841
serrasalmidae,myloplus,myloplus sp.,sp.,120.0,No author
serrasalmidae,mylossoma,mylossoma albiscopum,albiscopum,122.0,Cope 1872
characidae,mylossoma,mylossoma albiscopum,albiscopum,121.0,Cope 1872
serrasalmidae,mylossoma,mylossoma aureum,aureum,122.0,Spix & Agassiz 1829
lebiasinidae,nannostomus,nannostomus eques,eques,123.0,Steindachner 1876
lebiasinidae,nannostomus,nannostomus trifasciatus,trifasciatus,123.0,Steindachner 1876
trichomycteridae,ochmacanthus,ochmacanthus reinhardtii,reinhardtii,124.0,Steindachner 1882
salmonidae,oncorhynchus,oncorhynchus mykiss,mykiss,125.0,Walbaum 1792
osteoglossidae,osteoglossum,osteoglossum bicirrhosum,bicirrhosum,126.0,Cuvier 1829
loricariidae,oxyropsis,oxyropsis wrightiana,wrightiana,127.0,Eigenmann & Eigenmann 1889
loricariidae,panaqolus,panaqolus changae,changae,128.0,Chockley & Armbruster 2002
loricariidae,panaque,panaque sp.,sp.,129.0,No author
characidae,paragoniates,paragoniates alburnus,alburnus,130.0,Steindachner 1876
potamotrygonidae,paratrygon,paratrygon aiereba,aiereba,131.0,Muller & Henle 1841
parodontidae,parodon,parodon buckleyi,buckleyi,132.0,Boulenger 1887
parodontidae,parodon,parodon pongoensis,pongoensis,132.0,Allen 1942
loricariidae,peckoltia,peckoltia sp. 1,sp. 1,133.0,No author
loricariidae,peckoltia,peckoltia sp. 2,sp. 2,133.0,No author
loricariidae,peckoltichthys,peckoltichthys bachi,bachi,134.0,Boulenger 1898
pristigasteridae,pellona,pellona flavipinnis,flavipinnis,135.0,Valenciennes 1836
characidae,phenacogaster,phenacogaster pectinata,pectinata,136.0,Cope 1870
characidae,phenacogaster,phenacogaster sp.,sp.,136.0,Lucena & Malabarba 2010
heptapteridae,phenacorhamdia,phenacorhamdia sp.,sp.,137.0,No author
characidae,piaractus,piaractus brachypomus,brachypomus,138.0,Cuvier 1818
auchenipteridae,pimelodella,pimelodella buckleyi,buckleyi,140.0,Boulenger 1887
heptapteridae,pimelodella,pimelodella cristata,cristata,139.0,Müller y Troschel 1849
heptapteridae,pimelodella,pimelodella gracilis,gracilis,139.0,Valenciennes 1835
pimelodidae,pimelodus,pimelodus blochii,blochii,141.0,Valenciennes 1840
pimelodidae,pimelodus,pimelodus ornatus,ornatus,141.0,Kner 1858
pimelodidae,pimelodus,pimelodus pictus,pictus,141.0,Steindachner 1876
pimelodidae,pinirampus,pinirampus pirinampu,pirinampu,142.0,Spix & Agassiz 1829
loricariidae,planiloricaria,planiloricaria cryptodon,cryptodon,143.0,Isbrücker 1971
doradidae,platydoras,platydoras armatulus,armatulus,144.0,Valenciennes 1840
pimelodidae,platysilurus,platysilurus mucosus,mucosus,145.0,Vaillant 1880
apteronotidae,platyurosternarchus,platyurosternarchus macrostoma,macrostoma,146.0,Günther 1870
curimatidae,potamorhina,potamorhina altamazonica,altamazonica,147.0,Cope 1878
curimatidae,potamorhina,potamorhina latior,latior,147.0,Spix & Agassiz 1829
curimatidae,potamorhina,potamorhina pristigaster,pristigaster,147.0,Steindachner 1876
belonidae,potamorrhaphis,potamorrhaphis eigenmanni,eigenmanni,148.0,Miranda Ribeiro 1915
belonidae,potamorrhaphis,potamorrhaphis guianensis,guianensis,148.0,Jardine 1843
potamotrygonidae,potamotrygon,potamotrygon motoro,motoro,149.0,Muller & Henle 1841
potamotrygonidae,potamotrygon,potamotrygon tigrina,tigrina,149.0,"Carvalho, Sabaj & Lovejoy 2011"
characidae,prionobrama,prionobrama filigera,filigera,150.0,Cope 1870
pristigasteridae,pristigaster,pristigaster cayana,cayana,151.0,Cuvier 1829
prochilodontidae,prochilodus,prochilodus nigricans,nigricans,152.0,Spix & Agassiz 1829
curimatidae,psectrogaster,psectrogaster amazonica,amazonica,153.0,Eigenmann & Eigenmann 1889
curimatidae,psectrogaster,psectrogaster essequibensis,essequibensis,153.0,Günther 1864
curimatidae,psectrogaster,psectrogaster rutiloides,rutiloides,153.0,Kner 1858
anostomidae,pseudanos,pseudanos trimaculatus,trimaculatus,154.0,Kner 1858
aspredinidae,pseudobunocephalus,pseudobunocephalus bifidus,bifidus,155.0,Eigenmann 1942
loricariidae,pseudohemiodon,pseudohemiodon lamina,lamina,156.0,Günther 1868
pseudopimelodidae,pseudopimelodus,pseudopimelodus bufonius,bufonius,157.0,Valenciennes 1840
pimelodidae,pseudoplatystoma,pseudoplatystoma punctifer,punctifer,158.0,Castelnau 1855
loricariidae,pseudorinelepis,pseudorinelepis genibarbis,genibarbis,159.0,Valenciennes 1840
belonidae,pseudotylosurus,pseudotylosurus angusticeps,angusticeps,160.0,Günther 1866
cichlidae,pterophyllum,pterophyllum scalare,scalare,161.0,Schultze 1823
loricariidae,pterygoplichthys,pterygoplichthys pardalis,pardalis,162.0,Castelnau 1855
loricariidae,pterygoplichthys,pterygoplichthys scrophus,scrophus,162.0,Cope 1874
serrasalmidae,pygocentrus,pygocentrus nattereri,nattereri,163.0,Kner 1858
lebiasinidae,pyrrhulina,pyrrhulina brevis,brevis,164.0,Steindachner 1876
lebiasinidae,pyrrhulina,pyrrhulina sp.,sp.,164.0,No author
lebiasinidae,pyrrhulina,pyrrhulina vittata,vittata,164.0,Regan 1912
lebiasinidae,pyrrhulina,pyrrhulina zigzag,zigzag,164.0,Zarske & Géry 1997
heptapteridae,rhandia,rhamdia quelen,quelen,166.0,Quoy & Gaimard 1824
rhamphichthyidae,rhamphichthys,rhamphichthys pantherinus,marmoratus,165.0,Castelnau 1855
cynodontidae,rhaphiodon,rhaphiodon vulpinus,vulpinus,167.0,Spix & Agassiz 1829
loricariidae,rineloricaria,rineloricaria cf. wolfei,cf. wolfei,168.0,Fowler 1940
loricariidae,rineloricaria,rineloricaria sp.,sp.,168.0,No author
loricariidae,rineloricaria sp.,rineloricaria sp.,sp.,169.0,No author
characidae,roeboides,roeboides myersii,myersii,170.0,Fowler 1932
bryconidae,salminus,salminus iquitensis,sp.,171.0,No author
cichlidae,satanoperca,satanoperca jurupari,jurupari,172.0,Heckel 1840
cichlidae,saxatilia,saxatilia anthurus,anthurus,173.0,Cope 1872
anostomidae,schizodon,schizodon fasciatus,fasciatus,174.0,Spix & Agassiz 1829
prochilodontidae,semaprochilodus,semaprochilodus insignis,insignis,175.0,Jardine & Schomburgk 1841
characidae,serrapinnus,serrapinnus sp.,sp.,176.0,No author
characidae,serrasalmus,serrasalmus compressus,compressus,177.0,"Jégu, Leão & Santos 1991"
characidae,serrasalmus,serrasalmus elongatus,elongatus,177.0,Kner 1858
characidae,serrasalmus,serrasalmus humeralis,humeralis,177.0,Valenciennes 1850
serrasalmidae,serrasalmus,serrasalmus rhombeus,rhombeus,178.0,Linnaeus 1766
serrasalmidae,serrasalmus,serrasalmus sp.,sp.,178.0,No author
characidae,serrasalmus,serrasalmus spilopleura,spilopleura,177.0,Kner 1858
serrasalmidae,serrrasalmus,serrrasalmus sp.,sp.,179.0,No author
pimelodidae,sorubim,sorubim elongatus,elongatus,180.0,"Littmann, Burr, Schmidt & Isern 2001"
pimelodidae,sorubin,sorubim elongatus,elongatus,181.0,"Littmann, Burr, Schmidt & Isern 2001"
loricariidae,spatuloricaria,spatuloricaria evansii,evansii,182.0,Boulenger 1892
tetraodontidae,sphoeroides,sphoeroides asellus,asellus,183.0,Müller & Troschel 1849
rhamphichthyidae,steatogenys,steatogenys elegans,elegans,184.0,Steindachner 1880
curimatidae,steindachnerina,steindachnerina bimaculata,bimaculata,185.0,Steindachner 1876
curimatidae,steindachnerina,steindachnerina dobula,dobula,185.0,Günther 1868
curimatidae,steindachnerina,steindachnerina guentheri,guentheri,185.0,Eigenmann & Eigenmann 1889
curimatidae,steindachnerina,steindachnerina hypostoma,hypostoma,185.0,Boulenger 1887
curimatidae,steindachnerina,steindachnerina leucisca,leucisca,185.0,Günther 1868
