familia,genero,nombre_cientifico,especie,genero_id
apteronotidae,platyurosternarchus,platyurosternarchus macrostoma,macrostoma,146.0
curimatidae,potamorhina,potamorhina altamazonica,altamazonica,147.0
curimatidae,potamorhina,potamorhina latior,latior,147.0
curimatidae,potamorhina,potamorhina pristigaster,pristigaster,147.0
belonidae,potamorrhaphis,potamorrhaphis eigenmanni,eigenmanni,148.0
belonidae,potamorrhaphis,potamorrhaphis guianensis,guianensis,148.0
potamotrygonidae,potamotrygon,potamotrygon motoro,motoro,149.0
potamotrygonidae,potamotrygon,potamotrygon tigrina,tigrina,149.0
characidae,prionobrama,prionobrama filigera,filigera,150.0
pristigasteridae,pristigaster,pristigaster cayana,cayana,151.0
prochilodontidae,prochilodus,prochilodus nigricans,nigricans,152.0
curimatidae,psectrogaster,psectrogaster amazonica,amazonica,153.0
curimatidae,psectrogaster,psectrogaster essequibensis,essequibensis,153.0
curimatidae,psectrogaster,psectrogaster rutiloides,rutiloides,153.0
anostomidae,pseudanos,pseudanos trimaculatus,trimaculatus,154.0
aspredinidae,pseudobunocephalus,pseudobunocephalus bifidus,bifidus,155.0
loricariidae,pseudohemiodon,pseudohemiodon lamina,lamina,156.0
pseudopimelodidae,pseudopimelodus,pseudopimelodus bufonius,bufonius,157.0
pimelodidae,pseudoplatystoma,pseudoplatystoma punctifer,punctifer,158.0
loricariidae,pseudorinelepis,pseudorinelepis genibarbis,genibarbis,159.0
belonidae,pseudotylosurus,pseudotylosurus angusticeps,angusticeps,160.0
cichlidae,pterophyllum,pterophyllum scalare,scalare,161.0
loricariidae,pterygoplichthys,pterygoplichthys pardalis,pardalis,162.0
loricariidae,pterygoplichthys,pterygoplichthys scrophus,scrophus,162.0
serrasalmidae,pygocentrus,pygocentrus nattereri,nattereri,163.0
lebiasinidae,pyrrhulina,pyrrhulina brevis,brevis,164.0
lebiasinidae,pyrrhulina,pyrrhulina sp.,sp.,164.0
lebiasinidae,pyrrhulina,pyrrhulina vittata,vittata,164.0
lebiasinidae,pyrrhulina,pyrrhulina zigzag,zigzag,164.0
heptapteridae,rhandia,rhamdia quelen,quelen,166.0
rhamphichthyidae,rhamphichthys,rhamphichthys pantherinus,marmoratus,165.0
cynodontidae,rhaphiodon,rhaphiodon vulpinus,vulpinus,167.0
loricariidae,rineloricaria,rineloricaria cf. wolfei,cf. wolfei,168.0
loricariidae,rineloricaria,rineloricaria sp.,sp.,168.0
loricariidae,rineloricaria sp.,rineloricaria sp.,sp.,169.0
characidae,roeboides,roeboides myersii,myersii,170.0
bryconidae,salminus,salminus iquitensis,sp.,171.0
cichlidae,satanoperca,satanoperca jurupari,jurupari,172.0
cichlidae,saxatilia,saxatilia anthurus,anthurus,173.0
anostomidae,schizodon,schizodon fasciatus,fasciatus,174.0
prochilodontidae,semaprochilodus,semaprochilodus insignis,insignis,175.0
characidae,serrapinnus,serrapinnus sp.,sp.,176.0
characidae,serrasalmus,serrasalmus compressus,compressus,177.0
characidae,serrasalmus,serrasalmus elongatus,elongatus,177.0
characidae,serrasalmus,serrasalmus humeralis,humeralis,177.0
serrasalmidae,serrasalmus,serrasalmus rhombeus,rhombeus,178.0
serrasalmidae,serrasalmus,serrasalmus sp.,sp.,178.0
characidae,serrasalmus,serrasalmus spilopleura,spilopleura,177.0
serrasalmidae,serrrasalmus,serrrasalmus sp.,sp.,179.0
pimelodidae,sorubim,sorubim elongatus,elongatus,180.0
pimelodidae,sorubin,sorubim elongatus,elongatus,181.0
loricariidae,spatuloricaria,spatuloricaria evansii,evansii,182.0
tetraodontidae,sphoeroides,sphoeroides asellus,asellus,183.0
rhamphichthyidae,steatogenys,steatogenys elegans,elegans,184.0
curimatidae,steindachnerina,steindachnerina bimaculata,bimaculata,185.0
curimatidae,steindachnerina,steindachnerina dobula,dobula,185.0
curimatidae,steindachnerina,steindachnerina guentheri,guentheri,185.0
curimatidae,steindachnerina,steindachnerina hypostoma,hypostoma,185.0
curimatidae,steindachnerina,steindachnerina leucisca,leucisca,185.0
curimatidae,steindachnerina,steindachnerina planiventris,planiventris,185.0
curimatidae,steindachnerina,steindachnerina quasimodoi,quasimodoi,185.0
curimatidae,steindachnerina,steindachnerina sp.,sp.,185.0
sternopygidae,sternopygus,sternopygus macrurus,macrurus,186.0
characidae,stethaprion,stethaprion erythrops,erythrops,187.0
characidae,stichonodon,stichonodon insignis,insignis,188.0
synbranchidae,synbranchus,synbranchus marmoratus,marmoratus,189.0
cichlidae,tahuantinsuyoa,tahuantinsuyoa macantzatza,macantzatza,190.0
auchenipteridae,tatia,tatia dunni,dunni,191.0
auchenipteridae,tatia,tatia intermedia,intermedia,191.0
doradidae,tenellus,tenellus sp.,sp.,192.0
characidae,tetragonopterus,tetragonopterus argenteus,argenteus,193.0
characidae,tetragonopterus,tetragonopterus chalceus,chalceus,193.0
batrachoididae,thalassophryne,thalassophryne amazonica,amazonica,194.0
characidae,thayeria,thayeria obliqua,oblicua,195.0
gasteropelecidae,thoracocharax,thoracocharax securis,securis,196.0
gasteropelecidae,thoracocharax,thoracocharax stellatus,stellatus,196.0
auchenipteridae,trachelyopterus,trachelyopterus galeatus,galeatus,197.0
doradidae,trachydoras,trachydoras nattereri,nattereri,198.0
triportheidae,triportheus,triportheus angulatus,angulatus,199.0
characidae,tyttocharax,tyttocharax sp.,sp.,200.0
pimelodidae,zungaro,zungaro zungaro,zungaro,201.0
