familia,genero,nombre_cientifico,especie
Serrasalmidae,Metynnis,Metynnis luna,luna
Characidae,Charax ,Charax caudimaculatus,caudimaculatus
Iguanodectidae,Bryconops ,Bryconops melanurus,melanurus
Characidae,Moenkhausia ,Moenkhausia oligolepis,oligolepis
Characidae,Paragoniates ,Paragoniates alburnus,alburnus
Characidae,Astyanax ,Astyanax abramis,abramis
Characidae,Astyanax ,Astyanax multidens ,multidens
Characidae,Astyanax ,Astyanax multidens ,multidens
Characidae,Aphyocharax ,Aphyocharax pusillus,pusillus
Characidae,Jupiaba ,Jupiaba anteroides ,anteroides
Characidae,Bryconops ,Bryconops inpai ,inpai
Iguanodectidae,Bryconops ,Bryconops melanurus,melanurus
Characidae,Chrysobrycon,Chrysobrycon cf. hesperus ,cf. hesperus
Characidae,Chrysobrycon,Chrysobrycon eliasi,eliasi
Characidae,Chrysobrycon,Chrysobrycon yoliae, yoliae
Characidae,Microschemobrycon ,Microschemobrycon sp.,sp.
Characidae,Serrapinnus,Serrapinnus sp.,sp.
Characidae,Hemigrammus ,Hemigrammus ocellifer,ocellifer
Characidae,Hemigrammus ,Hemigrammus unilineatus,unilineatus
Characidae,Hemigrammus ,Hemigrammus pulcher,pulcher
Characidae,Hemigrammus ,Hemigrammus hyanuary,hyanuary
Characidae,Moenkhausia ,Moenkhausia agnesae,agnesae
Characidae,Moenkhausia ,Moenkhausia collettii,collettii
Characidae,Prionobrama ,Prionobrama filigera,filigera
Characidae,Paragoniates ,Paragoniates alburnus,alburnus
Characidae,Tetragonopterus ,Tetragonopterus argenteus,argenteus
Characidae,Charax ,Charax gibbosus,gibbosus
Characidae,Ctenobrycon ,Ctenobrycon hauxwellianus,hauxwellianus
Characidae,Astyanax ,Astyanax abramis,abramis
Characidae,Roeboides ,Roeboides myersii,myersii
Characidae,Creagrutus ,Creagrutus cochui,cochui
Characidae,Moenkhausia ,Moenkhausia oligolepis,oligolepis
Characidae,Ctenobrycon ,Ctenobrycon hauxwellianus,hauxwellianus
Characidae,Tetragonopterus ,Tetragonopterus chalceus,chalceus
Characidae,Roeboides ,Roeboides myersii,myersii
Characidae,Cynopotamus ,Cynopotamus amazonus,amazonus
Characidae,Cynopotamus ,Cynopotamus amazonus,amazonus
Characidae,Roeboides ,Roeboides myersii,myersii
Characidae,Cynopotamus ,Cynopotamus amazonus,amazonus
Triportheidae,Triportheus,Triportheus angulatus,angulatus
Triportheidae,Triportheus,Triportheus angulatus,angulatus
Characidae,Brycon ,Brycon melanopterus,melanopterus
Triportheidae,Triportheus,Triportheus angulatus,angulatus
Triportheidae,Triportheus,Triportheus angulatus,angulatus
Characidae,Chalceus ,Chalceus macrolepidotus,macrolepidotus
Characidae,Chalceus ,Chalceus erythrurus,erythrurus
Characidae,Bryconops ,Bryconops inpai ,inpai
Characidae,Brycon ,Brycon melanopterus,melanopterus
Crenuchidae,Characidium,Characidium sp. ,sp.
Doradidae,Tenellus,Tenellus sp. ,sp.
Doradidae,Platydoras,Platydoras armatulus,armatulus
Doradidae,Leptodoras,Leptodoras acipenserinus,acipenserinus
Doradidae,Amblydoras ,Amblydoras affinis,affinis
Doradidae,Platydoras,Platydoras armatulus,armatulus
Doradidae,Amblydoras ,Amblydoras hancockii,hancockii
Auchenipteridae,Ageneiosus,Ageneiosus inermis,inermis
Auchenipteridae,Trachelyopterus,Trachelyopterus galeatus,galeatus
Auchenipteridae,Centromochlus ,Centromochlus heckelii,heckelii
Auchenipteridae,Auchenipterus,Auchenipterus nuchalis,nuchalis
Auchenipteridae,Tatia,Tatia intermedia ,intermedia 
Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii
Pimelodidae ,Brachyplatystoma,Brachyplatystoma rousseauxii,rousseauxii
Pimelodidae ,Sorubin ,Sorubim elongatus,elongatus
Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii
Pimelodidae ,Pimelodus ,Pimelodus pictus ,pictus
Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii
Pimelodidae ,Callophysus ,Callophysus macropterus ,macropterus
Pimelodidae ,Leiarius ,Leiarius marmoratus ,marmoratus
Pimelodidae ,Pimelodus ,Pimelodus pictus ,pictus
Pimelodidae ,Platysilurus ,Platysilurus mucosus,mucosus
Pimelodidae ,Pseudoplatystoma,Pseudoplatystoma punctifer ,punctifer
Pimelodidae ,Pinirampus,Pinirampus pirinampu ,pirinampu 
Pimelodidae ,Zungaro,Zungaro zungaro ,zungaro
Pimelodidae ,Hemisorubim,Hemisorubim platyrhynchos ,platyrhynchos
Pimelodidae ,Pinirampus,Pinirampus pirinampu ,pirinampu 
Pimelodidae ,Pimelodus ,Pimelodus blochii,blochii
Pimelodidae ,Hypophthalmus,Hypophthalmus oremaculatus ,oremaculatus
Pimelodidae ,Hypophthalmus,Hypophthalmus celiae ,celiae
Pimelodidae ,Brachyplatystoma,Brachyplatystoma rousseauxii,rousseauxii
Heptapteridae,Rhandia ,Rhamdia quelen,quelen
Auchenipteridae,Ageneiosus,Ageneiosus uranophthalmus,uranopohthalmus
Heptapteridae,Pimelodella ,Pimelodella cristata,cristata
Heptapteridae,Pimelodella ,Pimelodella gracilis ,gracilis 
Heptapteridae,Pimelodella ,Pimelodella cristata,cristata
Auchenipteridae,Pimelodella ,Pimelodella buckleyi ,buckleyi
Heptapteridae,Pimelodella ,Pimelodella cristata,cristata
Heptapteridae,Pimelodella ,Pimelodella cristata,cristata
