nombre_cientifico,autor_nombre_cientifico
Thoracocharax securis ,(De Filippi 1853)
Stichonodon insignis ,(Steindachner 1876)
Sphoeroides asellus,(Müller & Troschel 1849)
Hypoclinemus mentalis ,(Günther 1862)
Henonemus sp. ,
Aphanotorulus emarginatus ,(Valenciennes 1840)
Stichonodon insignis ,(Steindachner 1876)
Metynnis sp. ,
Triportheus angulatus,(Spix & Agassiz 1829)
Triportheus angulatus,(Spix & Agassiz 1829)
Schizodon fasciatus,Spix & Agassiz 1829
Tetragonopterus argenteus,Cuvier 1816
Sphoeroides asellus,(Müller & Troschel 1849)
Psectrogaster amazonica,Eigenmann & Eigenmann 1889
Astyanax sp. ,
Crenicichla reticulatus ,(Heckel 1840)
Goeldiella eques ,(Müller & Troschel 1849)
Centromochlus heckelii,(De Filippi 1853)
Sphoeroides asellus,(Müller & Troschel 1849)
Mylossoma aureum,(Spix & Agassiz 1829)
Curimatella sp. 1,
Steindachnerina sp. ,
Tetragonopterus argenteus,Cuvier 1816
Hoplias malabaricus,(Bloch 1794)
Sphoeroides asellus,(Müller & Troschel 1849)
Prionobrama filigera,(Cope 1870)
Hypoclinemus mentalis ,(Günther 1862)
Metynnis sp. ,
Hoplias malabaricus,(Bloch 1794)
Monocirrhus polyacanthus,Heckel 1840
Stichonodon insignis ,(Steindachner 1876)
Myloplus sp. ,
Peckoltichthys bachi,Boulenger 1898)
Megalechis picta ,(Müller & Troschel 1849)
Pristigaster cayana,Cuvier 1829
Hypoclinemus mentalis ,(Günther 1862)
Pseudohemiodon lamina,(Günther 1868)
Brycon amazonicus ,(Agassiz 1829)
Pterophyllum scalare,(Schultze 1823)
Charax sp.,
Moenkhausia oligolepis,(Günther 1864)
Serrasalmus sp. ,
Sphoeroides asellus,(Müller & Troschel 1849)
Sphoeroides asellus,(Müller & Troschel 1849)
Tetragonopterus argenteus,Cuvier 1816
Thoracocharax stellatus,(Kner 1858)
Ctenobrycon hauxwellianus,(Cope 1870)
Prionobrama filigera,(Cope 1870)
knodus sp. ,
Pyrrhulina sp.,
Pyrrhulina sp.,
Pyrrhulina sp.,
Pyrrhulina sp.,
Hoplerythrinus unitaeniatus,(Spix & Agassiz 1829)
Apionichthys sp. ,
Copeina osgoodi,Eigenmann 1922
Pyrrhulina zigzag ,Zarske & Géry 1997
Sphoeroides asellus,(Müller & Troschel 1849)
Pimelodus blochii,Valenciennes 1840
Thoracocharax stellatus,(Kner 1858)
Bujurquina peregrinabunda ,Kullander 1986
Rhamdia quelen,(Quoy & Gaimard 1824)
Megalechis picta ,(Müller & Troschel 1849)
Corydoras rabauti,LaMonte 1941
Corydoras semiaquilus,Weitzman 1964
Farlowella sp. ,
Ancistrus sp. 3,
Carnegiella strigata,(Günther 1864)
Tetragonopterus argenteus,Cuvier 1816
Prochilodus nigricans,Spix & Agassiz 1829
Curimata vittata,(Kner 1858)
Schizodon fasciatus,Spix & Agassiz 1829
Rhaphiodon vulpinus,Spix & Agassiz 1829
Hoplias malabaricus,(Bloch 1794)
Stethaprion erythrops ,Cope 1870
Cynodon gibbus,(Spix & Agassiz 1829)
Bujurquina peregrinabunda ,Kullander 1986
Lugubria cincta,(Regan 1905)
Brachychalcinus nummus,Böhlke 1958
Myloplus cf. levis ,(Eigenmann & McAtee 1907)
Moenkhausia oligolepis,(Günther 1864)
Moenkhausia comma ,Eigenmann 1908
Moenkhausia sp. ,
Mylossoma albiscopum,(Cope 1872)
Sternopygus macrurus,(Bloch & Schneider 1801)
